Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
187, ,0.01,4.3470131581250175e-06,3.84439213584e+22,5.24345943144e-48,1.92219606792e+22,0.0, , , , 
188, ,0.01,4.6595256686646765e-06,4.41701818959e+22,5.24345943144e-48,2.20850909479e+22,0.0, , , , 
189, ,0.01,4.99450511585514e-06,5.07493746677e+22,5.24345943144e-48,2.53746873339e+22,0.0, , , , 
190, ,0.01,5.353566677410719e-06,5.83085447834e+22,5.24345943144e-48,2.91542723917e+22,0.0, , , , 
191, ,0.01,5.738441648302393e-06,6.69936608483e+22,5.24345943144e-48,3.34968304242e+22,0.0, , , , 
192, ,0.01,6.150985788580505e-06,7.69724336379e+22,5.24345943144e-48,3.84862168189e+22,0.0, , , , 
193, ,0.01,6.593188271333541e-06,8.84375546151e+22,5.24345943144e-48,4.42187773075e+22,0.0, , , , 
194, ,0.01,7.067181273927492e-06,1.01610416829e+23,5.24345943144e-48,5.08052084146e+22,0.0, , , , 
195, ,0.01,7.575250258771904e-06,1.16745390045e+23,5.24345943144e-48,5.83726950226e+22,0.0, , , , 
196, ,0.01,8.119844993184007e-06,1.3413473266e+23,5.24345943144e-48,6.70673663299e+22,0.0, , , , 
197, ,0.01,8.703591361485167e-06,1.54114235249e+23,5.24345943144e-48,7.70571176247e+22,0.0, , , , 
198, ,0.01,9.329304026284676e-06,1.77069704733e+23,5.24345943144e-48,8.85348523664e+22,0.0, , , , 
199, ,0.01,1e-05,2.03444414356e+23,5.24345943144e-48,1.01722207178e+23,0.0, , , , 
200, ,0.010353218432956621,1.0000000000000001e-11,177069704765.0,4.73033486881e-48,1476807478.5,0.00200399608179, , , , 
201, ,0.010353218432956621,1.0718913192051263e-11,203444414392.0,4.73033486881e-48,1946280992.62,0.00303449757337, , , , 
202, ,0.010353218432956621,1.1489510001873107e-11,233747663398.0,4.73033486881e-48,2564370598.27,0.00459367053022, , , , 
203, ,0.010353218432956621,1.2315506032928262e-11,268564611653.0,4.73033486881e-48,3377801340.32,0.00695251799151, , , , 
204, ,0.010353218432956621,1.3200884008314167e-11,308567579174.0,4.73033486881e-48,4447825654.96,0.0105180881927, , , , 
205, ,0.010353218432956621,1.4149912974345786e-11,354529028717.0,4.73033486881e-48,5854657700.45,0.0159065358945, , , , 
206, ,0.010353218432956621,1.5167168884709242e-11,407336482140.0,4.73033486881e-48,7703219814.92,0.0240470558961, , , , 
207, ,0.010353218432956621,1.6257556664437934e-11,468009658567.0,4.73033486881e-48,10130568700.7,0.0363344606245, , , , 
208, ,0.010353218432956621,1.7426333860096473e-11,537720165308.0,4.73033486881e-48,13315461663.0,0.054871547063, , , , 
209, ,0.010353218432956621,1.8679135990207848e-11,617814121752.0,4.73033486881e-48,17490634242.7,0.0828128452503, , , , 
210, ,0.010353218432956621,2.0022003718155844e-11,709838153117.0,4.73033486881e-48,22958490849.7,0.124892868745, , , , 
211, ,0.010353218432956621,2.1461411978584013e-11,815569255994.0,4.73033486881e-48,30111058951.9,0.188201679058, , , , 
212, ,0.010353218432956621,2.300430119772921e-11,937049112397.0,4.73033486881e-48,39455221826.7,0.28333623588, , , , 
213, ,0.010353218432956621,2.465811075822604e-11,1.07662351491e+12,4.73033486881e-48,51644417649.9,0.426110945693, , , , 
214, ,0.010353218432956621,2.643081486974103e-11,1.23698766428e+12,4.73033486881e-48,67518160715.8,0.640060394572, , , , 
215, ,0.010353218432956621,2.833096101839318e-11,1.4212382141e+12,4.73033486881e-48,88150882720.9,0.960120934213, , , , 
216, ,0.010353218432956621,3.036771118035461e-11,1.63293306759e+12,4.73033486881e-48,114911676732.0,1.43801919819, , , , 
217, ,0.010353218432956621,3.255088599835057e-11,1.87616008125e+12,4.73033486881e-48,149536509610.0,2.15007379361, , , , 
218, ,0.010353218432956621,3.4891012134067674e-11,2.15561600186e+12,4.73033486881e-48,194214292705.0,3.20839843708, , , , 
