Counter,mX[GeV],mA[GeV],Epsilon,Capture,Annihilation,GammaAnn,IceCubeSignal,BranchingRatioFile,Resolution,Kappa0
3242, ,0.5536601209276798,1.4081491217648349e-09,30847947.2278,1.1814012063e-46,1131.9752851,0.0268781337774, , , 
3243, ,0.5536601209276798,1.6451905877536607e-09,42107688.7818,1.1814012063e-46,2109.11110837,0.0642024448189, , , 
3244, ,0.5536601209276798,1.9221345439899134e-09,57477323.9028,1.1814012063e-46,3929.69769791,0.149884416611, , , 
3245, ,0.5536601209276798,2.2456979955397722e-09,78456995.8267,1.1814012063e-46,7321.75111166,0.339143055497, , , 
3246, ,0.5536601209276798,2.623728657777993e-09,107094411.782,1.1814012063e-46,13641.6061593,0.735317089611, , , 
3247, ,0.5536601209276798,3.065395295056524e-09,146184708.119,1.1814012063e-46,25416.0966613,1.50406414847, , , 
3248, ,0.5536601209276798,3.581410100125456e-09,199543267.78,1.1814012063e-46,47352.4413074,2.84134074962, , , 
3249, ,0.5536601209276798,4.184288507901576e-09,272378118.264,1.1814012063e-46,88219.0720203,4.81548565518, , , 
3250, ,0.5536601209276798,4.8886527451139865e-09,371798257.763,1.1814012063e-46,164347.950907,7.03736613881, , , 
3251, ,0.5536601209276798,5.711586478126423e-09,507507524.306,1.1814012063e-46,306154.837012,8.40129880174, , , 
3252, ,0.5536601209276798,6.6730491605731925e-09,692751732.559,1.1814012063e-46,570274.396954,7.61007514672, , , 
3253, ,0.5536601209276798,7.79636013040522e-09,945611522.941,1.1814012063e-46,1062135.97398,4.7290678777, , , 
3254, ,0.5536601209276798,9.108764197647733e-09,1290767110.77,1.1814012063e-46,1977939.12367,1.75699526216, , , 
3255, ,0.5536601209276798,1.0642092440647247e-08,1761907182.64,1.1814012063e-46,3682639.37606,0.323470351598, , , 
3256, ,0.5536601209276798,1.2433534237775991e-08,2405017058.71,1.1814012063e-46,6854684.57399,0.0228383696273, , , 
3257, ,0.5536601209276798,1.4526539259467813e-08,3282867060.02,1.1814012063e-46,12754250.3296,0.000435847229535, , , 
