Counter,mX[GeV],mA[GeV],Epsilon,Capture,Annihilation,GammaAnn,IceCubeSignal,Kappa0
2180, ,4.291934260128778,1.151395399326448e-07,4462459819.35,2.98020646872e-47,5965244.83934,0.0, 
2181, ,4.291934260128778,1.4563484775012446e-07,7139305252.88,2.98020646872e-47,15252011.8896,0.0, 
2182, ,4.291934260128778,1.8420699693267165e-07,11421879760.7,2.98020646872e-47,38971591.5701,0.0, 
2183, ,4.291934260128778,2.329951810515372e-07,18273393929.5,2.98020646872e-47,99477702.0988,0.0, 
2184, ,4.291934260128778,2.947051702551811e-07,29234848614.9,2.98020646872e-47,253511007.549,0.0, 
2185, ,4.291934260128778,3.727593720314938e-07,46771627473.0,2.98020646872e-47,644384110.652,0.0, 
2186, ,4.291934260128778,4.7148663634573897e-07,74827996042.8,2.98020646872e-47,1631227161.72,0.0, 
2187, ,4.291934260128778,5.963623316594636e-07,119714221940.0,2.98020646872e-47,4102844768.82,0.0, 
2188, ,4.291934260128778,7.543120063354624e-07,191525841831.0,2.98020646872e-47,10216273253.0,0.0, 
2189, ,4.291934260128778,9.540954763499944e-07,306414288083.0,2.98020646872e-47,25049534583.9,0.0, 
2190, ,4.291934260128778,1.2067926406393288e-06,490219570602.0,2.98020646872e-47,60014220240.9,0.0, 
2191, ,4.291934260128778,1.526417967175233e-06,784282054550.0,2.98020646872e-47,139043200798.0,0.0, 
2192, ,4.291934260128778,1.9306977288832498e-06,1.2547404836e+12,2.98020646872e-47,307634763834.0,0.0, 
2193, ,4.291934260128778,2.4420530945486497e-06,2.00740750353e+12,2.98020646872e-47,641808184573.0,0.0, 
2194, ,4.291934260128778,3.088843596477485e-06,3.21156839833e+12,2.98020646872e-47,1.25146984107e+12,0.0, 
2195, ,4.291934260128778,3.906939937054621e-06,5.13805570568e+12,2.98020646872e-47,2.27996480648e+12,0.0, 
2196, ,4.291934260128778,4.941713361323839e-06,8.22016322255e+12,2.98020646872e-47,3.92108179832e+12,0.0, 
2197, ,4.291934260128778,6.250551925273976e-06,1.31510998082e+13,2.98020646872e-47,6.48080029754e+12,0.0, 
2198, ,4.291934260128778,7.906043210907703e-06,2.10399017005e+13,2.98020646872e-47,1.04855336237e+13,0.0, 
2199, ,4.291934260128778,1e-05,3.36608701953e+13,2.98020646872e-47,1.68220412335e+13,0.0, 
2200, ,4.941713361323833,1e-10,1915.26991154,2.96248616366e-46,1.09427013159e-05,2.49262196661e-10, 
2201, ,4.941713361323833,1.264855216855296e-10,3064.16126838,2.96248616366e-46,2.80083682939e-05,9.25347250901e-10, 
2202, ,4.941713361323833,1.5998587196060573e-10,4902.2251235,2.96248616366e-46,7.16887603606e-05,3.23892679293e-09, 
2203, ,4.941713361323833,2.0235896477251562e-10,7842.8676093,2.96248616366e-46,0.000183490815516,1.03185352046e-08, 
2204, ,4.941713361323833,2.559547922699533e-10,12547.4801315,2.96248616366e-46,0.0004696535269,2.82770164252e-08, 
2205, ,4.941713361323833,3.23745754281764e-10,20074.1954974,2.96248616366e-46,0.00120210067318,6.08998388251e-08, 
2206, ,4.941713361323833,4.09491506238042e-10,32115.8767056,2.96248616366e-46,0.00307683413354,8.92073679624e-08, 
2207, ,4.941713361323833,5.179474679231202e-10,51380.8653852,2.96248616366e-46,0.00787530381155,7.05297260568e-08, 
2208, ,4.941713361323833,6.551285568595495e-10,82202.1255074,2.96248616366e-46,0.0201572150404,2.07912465973e-08, 
2209, ,4.941713361323833,8.28642772854686e-10,131511.787263,2.96248616366e-46,0.0515933477653,1.26446956418e-09, 
2210, ,4.941713361323833,1.0481131341546874e-09,210400.279584,2.96248616366e-46,0.132055604662,6.15551400216e-12, 
2211, ,4.941713361323833,1.3257113655901108e-09,336610.7219,2.96248616366e-46,0.338002478919,5.27351515695e-16, 
2212, ,4.941713361323833,1.6768329368110098e-09,538529.598545,2.96248616366e-46,0.865132847979,7.04615124513e-23, 
2213, ,4.941713361323833,2.1209508879201927e-09,861571.273998,2.96248616366e-46,2.21434613874,3.04106718782e-34, 
2214, ,4.941713361323833,2.6826957952797275e-09,1378392.31527,2.96248616366e-46,5.6677134089,8.5800726181e-53, 
2215, ,4.941713361323833,3.393221771895329e-09,2205232.96462,2.96248616366e-46,14.506736374,7.75529553857e-83, 
2216, ,4.941713361323833,4.291934260128778e-09,3528061.18721,2.96248616366e-46,37.1304915914,2.85997743304e-131, 
2217, ,4.941713361323833,5.4286754393238595e-09,5644399.45366,2.96248616366e-46,95.0364726491,4.00671798973e-209, 
2218, ,4.941713361323833,6.866488450042997e-09,9030241.68288,2.96248616366e-46,243.247130392,0.0, 
2219, ,4.941713361323833,8.68511373751352e-09,14447110.8965,2.96248616366e-46,622.589273745,0.0, 
2220, ,4.941713361323833,1.0985411419875573e-08,23113336.3409,2.96248616366e-46,1593.49215757,0.0, 
2221, ,4.941713361323833,1.3894954943731358e-08,36978072.6841,2.96248616366e-46,4078.39464674,0.0, 
2222, ,4.941713361323833,1.7575106248547933e-08,59159692.018,2.96248616366e-46,10437.9257322,0.0, 
2223, ,4.941713361323833,2.222996482526196e-08,94647149.1241,2.96248616366e-46,26712.6012061,0.0, 
2224, ,4.941713361323833,2.8117686979742307e-08,151422066.812,2.96248616366e-46,68356.7502415,0.0, 
2225, ,4.941713361323833,3.5564803062231293e-08,242253913.93,2.96248616366e-46,174899.214062,0.0, 
2226, ,4.941713361323833,4.498432668969443e-08,387572036.56,2.96248616366e-46,447404.475007,0.0, 
2227, ,4.941713361323833,5.689866029018303e-08,620060502.166,2.96248616366e-46,1144096.23358,0.0, 
2228, ,4.941713361323833,7.196856730011529e-08,992009201.073,2.96248616366e-46,2924049.79222,0.0, 
2229, ,4.941713361323833,9.102981779915227e-08,1587074570.27,2.96248616366e-46,7466615.78383,0.0, 
2230, ,4.941713361323833,1.151395399326448e-07,2539095089.91,2.96248616366e-46,19039343.3368,0.0, 
2231, ,4.941713361323833,1.4563484775012446e-07,4062193419.49,2.96248616366e-46,48440457.6912,0.0, 
2232, ,4.941713361323833,1.8420699693267165e-07,6498935562.9,2.96248616366e-46,122807074.104,0.0, 
2233, ,4.941713361323833,2.329951810515372e-07,10397378728.5,2.96248616366e-46,309604739.929,0.0, 
2234, ,4.941713361323833,2.947051702551811e-07,16634337019.8,2.96248616366e-46,773729448.424,0.0, 
2235, ,4.941713361323833,3.727593720314938e-07,26612589126.0,2.96248616366e-46,1907652982.65,0.0, 
2236, ,4.941713361323833,4.7148663634573897e-07,42576382764.5,2.96248616366e-46,4608151560.63,0.0, 
2237, ,4.941713361323833,5.963623316594636e-07,68116197215.0,2.96248616366e-46,10802541821.6,0.0, 
2238, ,4.941713361323833,7.543120063354624e-07,108976292061.0,2.96248616366e-46,24281987843.9,0.0, 
2239, ,4.941713361323833,9.540954763499944e-07,174346671084.0,2.96248616366e-46,51661241451.0,0.0, 
2240, ,4.941713361323833,1.2067926406393288e-06,278930041968.0,2.96248616366e-46,102939883507.0,0.0, 
2241, ,4.941713361323833,1.526417967175233e-06,446248659802.0,2.96248616366e-46,191448102447.0,0.0, 
2242, ,4.941713361323833,1.9306977288832498e-06,713934809498.0,2.96248616366e-46,334674454288.0,0.0, 
2243, ,4.941713361323833,2.4420530945486497e-06,1.1421948302e+12,2.96248616366e-46,558888645587.0,0.0, 
2244, ,4.941713361323833,3.088843596477485e-06,1.82735035859e+12,2.96248616366e-46,908735266753.0,0.0, 
2245, ,4.941713361323833,3.906939937054621e-06,2.92350240497e+12,2.96248616366e-46,1.46037342391e+12,0.0, 
2246, ,4.941713361323833,4.941713361323839e-06,4.67719081438e+12,2.96248616366e-46,2.33835404566e+12,0.0, 
2247, ,4.941713361323833,6.250551925273976e-06,7.48284450765e+12,2.96248616366e-46,3.74139872886e+12,0.0, 
2248, ,4.941713361323833,7.906043210907703e-06,1.1971494033e+13,2.96248616366e-46,5.98574592379e+12,0.0, 
2249, ,4.941713361323833,1e-05,1.91526991154e+13,2.96248616366e-46,9.57634953784e+12,0.0, 
2250, ,5.689866029018292,1e-10,1089.77159064,1.58576126676e-46,1.89634353135e-06,5.42961171445e-11, 
2251, ,5.689866029018292,1.264855216855296e-10,1743.48058166,1.58576126676e-46,4.85378213965e-06,1.95228360458e-10, 
2252, ,5.689866029018292,1.5998587196060573e-10,2789.32261103,1.58576126676e-46,1.24234879651e-05,6.49295750821e-10, 
2253, ,5.689866029018292,2.0235896477251562e-10,4462.52210105,1.58576126676e-46,3.17985127005e-05,1.90610943876e-09, 
2254, ,5.689866029018292,2.559547922699533e-10,7139.4048948,1.58576126676e-46,8.13898166636e-05,4.58299884549e-09, 
2255, ,5.689866029018292,3.23745754281764e-10,11422.0391737,1.58576126676e-46,0.000208321134271,8.00642325504e-09, 
2256, ,5.689866029018292,4.09491506238042e-10,18273.6489678,1.58576126676e-46,0.000533207918699,8.39084986983e-09, 
2257, ,5.689866029018292,5.179474679231202e-10,29235.2566401,1.58576126676e-46,0.00136477118882,3.88267004074e-09, 
2258, ,5.689866029018292,6.551285568595495e-10,46772.2802556,1.58576126676e-46,0.00349319713088,4.85776598296e-10, 
2259, ,5.689866029018292,8.28642772854686e-10,74829.0404028,1.58576126676e-46,0.00894100492585,7.49882933107e-12, 
2260, ,5.689866029018292,1.0481131341546874e-09,119715.892768,1.58576126676e-46,0.0228849283978,4.0708022884e-15, 
2261, ,5.689866029018292,1.3257113655901108e-09,191528.514921,1.58576126676e-46,0.058575061986,1.04322861567e-20, 
2262, ,5.689866029018292,1.6768329368110098e-09,306418.564649,1.58576126676e-46,0.149925641556,5.07958813333e-30, 
2263, ,5.689866029018292,2.1209508879201927e-09,490226.412503,1.58576126676e-46,0.383741714231,2.75297976909e-45, 
2264, ,5.689866029018292,2.6826957952797275e-09,784293.000624,1.58576126676e-46,0.982204692575,4.45718660845e-70, 
2265, ,5.689866029018292,3.393221771895329e-09,1254757.99577,1.58576126676e-46,2.51399746243,4.16985514783e-110, 
2266, ,5.689866029018292,4.291934260128778e-09,2007435.52054,1.58576126676e-46,6.43468667116,1.63014632774e-174, 
2267, ,5.689866029018292,5.4286754393238595e-09,3211613.22158,1.58576126676e-46,16.469846678,6.33099342179e-278, 
2268, ,5.689866029018292,6.866488450042997e-09,5138127.41654,1.58576126676e-46,42.1551889473,0.0, 
2269, ,5.689866029018292,8.68511373751352e-09,8220277.9498,1.58576126676e-46,107.897518278,0.0, 
2270, ,5.689866029018292,1.0985411419875573e-08,13151283.3556,1.58576126676e-46,276.165969523,0.0, 
2271, ,5.689866029018292,1.3894954943731358e-08,21040195.3504,1.58576126676e-46,706.848161702,0.0, 
2272, ,5.689866029018292,1.7575106248547933e-08,33661339.9936,1.58576126676e-46,1809.16313129,0.0, 
2273, ,5.689866029018292,2.222996482526196e-08,53853388.3023,1.58576126676e-46,4630.44068161,0.0, 
2274, ,5.689866029018292,2.8117686979742307e-08,86157812.8558,1.58576126676e-46,11851.0198005,0.0, 
2275, ,5.689866029018292,3.5564803062231293e-08,137840328.16,1.58576126676e-46,30329.916152,0.0, 
